Date,High,Low,Open,Close,Volume,Adj Close
2022-09-01,20198.390625,19653.96875,20050.498046875,20127.140625,30182031010,20127.140625
2022-09-02,20401.568359375,19814.765625,20126.072265625,19969.771484375,29123998928,19969.771484375
2022-09-03,20037.009765625,19698.35546875,19969.71875,19832.087890625,23613051457,19832.087890625
2022-09-04,19999.689453125,19636.81640625,19832.470703125,19986.712890625,25245861652,19986.712890625
2022-09-05,20031.16015625,19673.046875,19988.7890625,19812.37109375,28813460025,19812.37109375
2022-09-06,20155.26953125,18800.171875,19817.724609375,18837.66796875,43403978910,18837.66796875
2022-09-07,19427.171875,18644.466796875,18837.68359375,19290.32421875,35239757134,19290.32421875
2022-09-08,19417.3515625,19076.71484375,19289.94140625,19329.833984375,32194477850,19329.833984375
2022-09-09,21439.41015625,19310.962890625,19328.140625,21381.15234375,48469528171,21381.15234375
2022-09-10,21760.275390625,21168.72265625,21376.912109375,21680.5390625,36913738894,21680.5390625
2022-09-11,21770.552734375,21406.9453125,21678.54296875,21769.255859375,34493951963,21769.255859375
2022-09-12,22439.181640625,21603.896484375,21770.1484375,22370.44921875,50212088965,22370.44921875
2022-09-13,22673.8203125,20062.669921875,22371.48046875,20296.70703125,51091116622,20296.70703125
2022-09-14,20467.201171875,19793.396484375,20184.5546875,20241.08984375,37872380889,20241.08984375
2022-09-15,20318.166015625,19636.734375,20242.2890625,19701.2109375,36389011503,19701.2109375
2022-09-16,19870.62890625,19400.076171875,19704.005859375,19772.583984375,30123362273,19772.583984375
2022-09-17,20162.53125,19777.033203125,19777.033203125,20127.576171875,24957448100,20127.576171875
2022-09-18,20127.234375,19387.4921875,20127.234375,19419.505859375,31254779144,19419.505859375
2022-09-19,19639.48046875,18390.318359375,19418.572265625,19544.12890625,40177002624,19544.12890625
2022-09-20,19602.45703125,18813.455078125,19545.591796875,18890.7890625,36791346508,18890.7890625
2022-09-21,19674.630859375,18290.314453125,18891.283203125,18547.400390625,46363793975,18547.400390625
2022-09-22,19456.91015625,18415.591796875,18534.650390625,19413.55078125,41135767926,19413.55078125
2022-09-23,19464.671875,18617.552734375,19412.400390625,19297.638671875,38896078052,19297.638671875
2022-09-24,19310.197265625,18861.974609375,19296.990234375,18937.01171875,26149643168,18937.01171875
2022-09-25,19134.732421875,18696.46875,18936.310546875,18802.09765625,23359966112,18802.09765625
2022-09-26,19274.873046875,18721.28515625,18803.900390625,19222.671875,44148798321,19222.671875
2022-09-27,20338.455078125,18915.66796875,19221.83984375,19110.546875,58571439619,19110.546875
2022-09-28,19688.34375,18553.296875,19104.62109375,19426.720703125,53071298734,19426.720703125
2022-09-29,19589.265625,18924.353515625,19427.779296875,19573.05078125,41037843771,19573.05078125
2022-09-30,20109.849609375,19265.662109375,19573.431640625,19431.7890625,43975248085,19431.7890625
2022-10-01,19471.154296875,19231.08203125,19431.10546875,19312.095703125,18719537670,19312.095703125
2022-10-02,19370.30859375,18970.62109375,19311.849609375,19044.107421875,20765955327,19044.107421875
2022-10-03,19653.54296875,19025.2265625,19044.068359375,19623.580078125,30484729489,19623.580078125
2022-10-04,20380.34375,19523.83984375,19623.583984375,20336.84375,35887278685,20336.84375
2022-10-05,20343.748046875,19801.80078125,20335.900390625,20160.716796875,33223790572,20160.716796875
2022-10-06,20408.392578125,19900.087890625,20161.0390625,19955.443359375,34711412966,19955.443359375
2022-10-07,20041.0859375,19395.79296875,19957.55859375,19546.849609375,29227315390,19546.849609375
2022-10-08,19601.6953125,19299.4140625,19546.328125,19416.568359375,16437423167,19416.568359375
2022-10-09,19542.5390625,19349.259765625,19417.478515625,19446.42578125,16837262532,19446.42578125
2022-10-10,19515.466796875,19102.978515625,19446.416015625,19141.484375,27425022774,19141.484375
2022-10-11,19241.9609375,18925.603515625,19139.0,19051.41796875,28711532910,19051.41796875
2022-10-12,19203.19921875,19029.7578125,19052.646484375,19157.4453125,24950173846,19157.4453125
2022-10-13,19453.328125,18319.822265625,19156.966796875,19382.904296875,44219840004,19382.904296875
2022-10-14,19889.146484375,19115.408203125,19382.533203125,19185.65625,38452356727,19185.65625
2022-10-15,19212.541015625,19019.25,19185.4375,19067.634765625,16192235532,19067.634765625
2022-10-16,19389.603515625,19068.9140625,19068.9140625,19268.09375,17988916650,19268.09375
2022-10-17,19635.802734375,19173.333984375,19268.5625,19550.7578125,27472552998,19550.7578125
2022-10-18,19666.994140625,19144.76953125,19550.466796875,19334.416015625,30580012344,19334.416015625
2022-10-19,19348.416015625,19127.6875,19335.02734375,19139.53515625,22425387184,19139.53515625
2022-10-20,19315.19921875,18971.458984375,19138.0859375,19053.740234375,24493974420,19053.740234375
2022-10-21,19237.384765625,18770.970703125,19053.203125,19172.46875,32459287866,19172.46875
2022-10-22,19248.068359375,19132.244140625,19172.380859375,19208.189453125,16104440957,19208.189453125
2022-10-23,19646.65234375,19124.197265625,19207.734375,19567.0078125,22128794335,19567.0078125
2022-10-24,19589.125,19206.32421875,19567.76953125,19345.572265625,30202235805,19345.572265625
2022-10-25,20348.412109375,19261.447265625,19344.96484375,20095.857421875,47761524910,20095.857421875
2022-10-26,20938.134765625,20076.1171875,20092.236328125,20770.44140625,58895950537,20770.44140625
2022-10-27,20854.044921875,20255.373046875,20772.802734375,20285.8359375,49625110402,20285.8359375
2022-10-28,20724.98046875,20086.068359375,20287.95703125,20595.3515625,43994715910,20595.3515625
2022-10-29,20988.39453125,20566.484375,20595.103515625,20818.4765625,40369840645,20818.4765625
2022-10-30,20917.005859375,20547.462890625,20817.982421875,20635.603515625,31486345556,20635.603515625
2022-10-31,20795.3203125,20287.458984375,20633.6953125,20495.7734375,45668466815,20495.7734375
2022-11-01,20647.2890625,20359.845703125,20494.8984375,20485.2734375,39819303159,20485.2734375
2022-11-02,20742.810546875,20087.134765625,20482.958984375,20159.50390625,55552169483,20159.50390625
2022-11-03,20382.095703125,20086.240234375,20162.689453125,20209.98828125,43228750179,20209.98828125
2022-11-04,21209.560546875,20188.01953125,20208.76953125,21147.23046875,64072727950,21147.23046875
2022-11-05,21446.88671875,21097.634765625,21144.83203125,21282.69140625,37846047609,21282.69140625
2022-11-06,21345.376953125,20920.19140625,21285.056640625,20926.486328125,35082693210,20926.486328125
2022-11-07,21053.24609375,20489.97265625,20924.62109375,20602.81640625,53510852236,20602.81640625
2022-11-08,20664.607421875,17603.544921875,20600.671875,18541.271484375,118992465607,18541.271484375
2022-11-09,18590.458984375,17428.435546875,18509.15625,17676.80078125,124472549376,17676.80078125
